komentarClean,cluster,prediksi_sentimen
gubenurnya benerin jalan sayang uangnya buat keluarga,1,negative
jalan arah kmna kartu keluarga,1,negative
jalan bagus kartu keluarga,1,negative
spil orangnya kartu keluarga jalan garasi,1,negative
emng kartu keluarga daerah inhu kebun ortu belilas masuk asli jalan hancur parah habis hujan mobil,1,negative
gas kartu keluarga mobil elit jalan sulit,1,negative
air molek kartu keluarga jalannytp jalan potongnyasoalny pernh kesana,1,negative
ne jalan belok kiri simpang raya kartu keluarga,1,negative
jalan air molek kartu keluarga pintas,1,negative
kartu keluarga jalan arah kuantan tenang,1,negative
jalan kota kartu keluarga,1,negative
olun jo elok an jalan kartu keluarga,1,negative
klw salah jalan kuala cinako kartu keluarga,1,negative
lumpur lapindo jalan negeri liburan keluarga,1,negative
permainan calo jalan,1,negative
pantesss liat dinas jalan kota minggu trnyata,1,positive
jalan jalan miliaran gituu,1,negative
rapat nga ngong nga ngong dinas jalan,1,negative
kmn jaman bahela jalan,1,negative
jawa jalan jalan timur indonesia,1,negative
pelatihan modal usaha latih dikasih modal mo jalan,1,negative
desa q pengaspalan jalan rumah q panjangnya mtran biaya juta cmn mengaspal tok,1,negative
tradisi jalan dinas rapat perjalanan dinas komisinya mangkannya pegawai suka jalan dinas,1,negative
stunting mkan telur ayamyg jalan dinas makan telur caviar,1,negative
studybandingnya dananya habis jalan lumayanlah uang mudah,1,negative
ditempatku kader piknik jalan paksemuanya ditanggung,1,negative
pakpns gaada perjadin jalan rapat hotel bintang nginep berhari isi poto bareng,1,negative
jalan jalan perkampungan pandeglang rusakk mekarjaya cikole cikeper ancur,1,negative
bupatinya bli mobil elit benerin jalan sulit,1,negative
mulus jalan pandeglang,1,negative
ampuuun eta jalan,1,negative
anggaran jalan desa,1,negative
inimah sawah jalan habis nuturisassi,1,negative
irna narulita dimyati irnadimyati tips beli mobil menjangkau jalan rusak,1,negative
masuk klapacagak kubang oleng telusuri jalan uhhhhh,1,negative
munawirsyahidi iyeu jalan,1,negative
gera kadie bantuan ngabau jalan,1,negative
meni siga wahangan kiti eta jalan,1,negative
daerah baturmah jalan baragus dipandeglang tibahela tara dihadean,1,negative
bupatina gumelisteing te nele jalan,1,negative
tembusin nyampe kp cegog beh jalan keren,1,negative
itumah sungai jalan sungai lgi surut batu kerikil,1,negative
aneh jalan daerah kab pandeglang,1,negative
irna jalan oge bumbu pecel bae,1,negative
jalan sunda wahangan,1,negative
jalan handoyan gh ajur pisan,1,negative
kadie yeh mang pang vidoken jalan urang kecamatan cibitung desa manglid,1,negative
jalan desa jalan utama bolong sumur miara ikan,1,negative
lurus daerah sayadesa tanjung jaya jalan desa citerep,1,negative
cobi dambelken vt dei eta jalan nu rusak sareng bupati pandeglang anu nuju mancing,1,negative
jalan ter indah paneglang,1,positive
matak konslet mtorna jalan model kitumah,1,negative
jalan rusakyg pakai motor salah jalan akai gps,1,negative
hirup mewah jalan susah,1,negative
jaka mantul pandeglang kota kampung jakabedul jalan jalur bedul,1,positive
diperhatikan jalan pemkab pandeglang,1,negative
janji nyanih bosss jalan kabupaten pandeglang betullll,1,negative
haduh kaur dandan geulis laju bae hulap nempo jalan na,1,negative
jalan kabupaten hahaha,1,negative
jalan jalan negeri mantul,1,negative
pantes bilang surut jalan kabupaten,1,negative
kuat liat jalan naya,1,negative
jakamantul bentul jalan,1,negative
sekretariat presiden lihatlah sawah jalan jalan sawah,1,negative
jalan sawah tandurin,1,negative
eta jalan jiga gupakan kebo,1,negative
alhamdulilah pandeglang subur jalan rusak,1,positive
hiling terhalang jalan,1,negative
jalan tulng bwang gmma,1,negative
pahami pemerintahnya jalan capek mreka jalannya,1,negative
rusak rusak jalan alternatif jalan utama mulus bolongan,1,positive
kebanyakan balam ama metro jalan kota bagus,1,negative
seputih ramangb rongsok parah jalan,1,negative
jalan lintas kalteng lumayan berlubang lampung,1,positive
mangka dek beli pesawat jalan lampung salam lmupung,1,negative
kecpubia spil jalan rusak berlubang,1,negative
keknya w jalan and alfamart bg hhh,1,negative
waw lampung danau jalan,1,negative
bus bus jelek busset jalan rumbia,1,negative
bagus kolam jalan,1,negative
jalan raya lohh bisabisanya diperbaiki,1,negative
healing suka lampung bnyk wisata terhalang olh jalan,1,negative
astaghfirullah tenggelam motor kubangan jalan,1,negative
jalan mesuji ampun tobat,1,negative
healing berenang jalan,1,negative
kemarin dapet cewe lamteng mudik kekampungnya kayanya jalan ancur gq namanya jalan,1,negative
bumi nabung rumbia amt tersiksa jalan,1,negative
buset jalan desa bagusan jalan desa,1,negative
detik lewatin jalan supir blg angkat kaki,1,negative
mak jalan bgini marhamah jm rumah uti dket kota bgtu parah,1,negative
jalan lampung parkour skolah psti brngkatnya jam set telat,1,positive
meyah jalan skolh rusak parah bapakhuueemok besok meyah jalan dh bagus makasih yeew bapaksip peri,1,negative
bro benerin jalan,1,negative
barusan pagi jalan nth,1,negative
jalan ancu mobil lewet susah,1,negative
jalan gitukalau lumpur maca manakalau jalan,1,negative
inpo jalan pintass arep nng gaya baruu rumbia dalane baikk skli,1,negative
jalan banjir parah,1,negative
belom jalan rawajitu,1,negative
jalan pulang sekolah,1,negative
jalan terminal purbalingga,1,negative
jalan rusak heran lampung tmpt,1,negative
jalan rafael bandar jaya hadir,1,negative
jalan raya jalan kampung,1,negative
imbang sma riauhujan jlan rusak anak skola pegi sekola jalan kaki kilo,1,negative
nyobain wisata jalan lampung,1,negative
jalan mancing berenang,1,negative
enak loh healing kubangan jalan,1,negative
gaya engga jalan,1,negative
jalan kagak dipoles,1,negative
jalan rumbia terkenalwisata jalan seribu lobang,1,negative
ikram afro nihh ternak lele ditengah jalan,1,negative
beneran jalan lampung seancur habis kena lava begimane jalan lobang segede kolam lele lampung dana apbd kah,1,positive
jalan lautan dalem lautan jual kebutuhan,1,negative
sekota seputih jalan kolam lele,1,negative
gtudisni tmpatku jalan gang halus,1,negative
males mandiin motor nginjak jalan langsung kotor,1,negative
cipokan aspal sampek gigi cuil gara gara jalan cry,1,negative
pppppttrd jalan cabean,1,negative
cor jalan cm proses males lamaaaaaaaaa ngecor jalan aspal sehari langsung dipake,1,negative
ciciiii tasyagabut an suah meliat jalan seranggam tok ee nampak ang,1,negative
rawajitu woi jalan,1,negative
jalan rumahku parah bubur,1,negative
dirumbia males jalan jelek,1,negative
jalan rawajitu behh,1,negative
user jalan benteng,1,negative
jalan arah sekolah,1,negative
gamau benerin jalan jadiin waterpark pakk,1,negative
wkwkw jalan dirumbia emng hancur gara mobil,1,negative
lampung selatan jalan akses masuk desa nggk kunjung perbaiki diperbaiki timbun janji habis benerin,1,negative
anothromii thaithe dkt jalan sklhh,1,negative
jalan daerah gasi,1,negative
asli woy rumbia parah jalannya metro jalan ancur,1,negative
vrppp jalan rumag elo,1,negative
gpp wisata jalan offroad,1,negative
jalan dibenci mudikk,1,negative
th menjelang puasa ziarah makam kakek dirumbiatp cape jalan disna diperbaiki,1,negative
perbaiki ciri khas jalan lampung,1,negative
ciri khass jalan lampung,1,negative
pftt lawak jalan dipilih desa,1,negative
bikin jalan elit benerin jalan sulit,1,negative
seru andai jalan,1,negative
asing jalan rupa kampung,1,negative
